,Label,x,y,Cluster
164,CVE-2017-3748,-13.90733,-0.9429783,1
165,CVE-2017-16613,8.774494,13.303025,0
166,CVE-2017-13068,20.264908,-10.550008,2
167,CVE-2017-12319,5.150295,3.6385703,5
168,CVE-2017-16687,17.30856,-11.054108,2
169,CVE-2017-14834,-9.224724,5.4467964,1
170,CVE-2017-3537,-11.314305,-3.1985576,1
171,CVE-2017-7797,25.530071,-15.480814,2
172,CVE-2017-6756,-6.48512,5.460813,5
173,CVE-2017-13148,5.4057574,3.9585037,5
174,CVE-2017-9195,-13.837421,3.0278194,1
175,CVE-2017-9158,18.66328,-11.204107,2
176,CVE-2017-11118,5.532156,4.4825454,5
177,CVE-2017-14362,-5.74087,6.0807796,5
178,CVE-2017-6033,-15.661814,-0.624348,1
179,CVE-2017-16106,20.162992,-10.6872425,2
180,CVE-2017-13765,26.809896,-17.296066,2
181,CVE-2017-15785,-14.057567,2.8397813,1
182,CVE-2017-5215,7.3741045,14.28245,0
183,CVE-2017-7846,-15.793538,-0.8361045,1
184,CVE-2017-10768,5.5785275,3.0536113,5
185,CVE-2017-0922,20.284826,-10.529181,2
186,CVE-2017-18271,5.675996,4.1861444,5
187,CVE-2017-10987,22.910736,-13.423063,2
188,CVE-2017-2464,-14.631012,2.5466905,1
189,CVE-2017-12893,-13.949776,3.381954,1
190,CVE-2017-16186,20.163025,-10.690387,2
191,CVE-2017-9759,-4.79022,6.537782,5
192,CVE-2017-2978,26.84659,-17.29747,2
193,CVE-2017-10832,10.323612,13.587052,0
194,CVE-2017-0458,4.9924192,18.580757,0
195,CVE-2017-16550,6.577475,3.0808983,5
196,CVE-2017-14387,-10.262712,-3.370117,1
197,CVE-2017-11027,21.306633,-11.695239,2
198,CVE-2017-17854,1.6086268,6.6645007,5
199,CVE-2017-14551,5.7921796,3.092274,5
200,CVE-2017-10029,-11.286634,-2.871888,1
201,CVE-2017-1000469,8.492067,14.071186,0
202,CVE-2017-0145,5.2263484,16.295927,0
203,CVE-2017-3215,25.79001,-16.515596,2
204,CVE-2017-9170,0.4053253,20.227406,0
205,CVE-2017-7695,9.296311,13.057513,0
206,CVE-2017-6757,-5.6829367,5.377884,5
207,CVE-2017-7694,-8.746529,5.331432,1
208,CVE-2017-12985,-13.949776,3.381954,1
209,CVE-2017-0900,17.864868,-11.782094,2
210,CVE-2017-14487,-10.2344055,-3.122076,1
211,CVE-2017-1000386,-32.16132,24.470396,4
212,CVE-2017-1000452,-15.635429,-0.64708567,1
213,CVE-2017-6869,5.4764047,18.033562,0
214,CVE-2017-6625,5.1038437,3.833049,5
215,CVE-2017-10997,-11.112086,4.398885,1
216,CVE-2017-1000073,0.55530214,20.180368,0
217,CVE-2017-2321,4.3199444,17.615984,0
218,CVE-2017-8271,-16.529764,-0.4734916,1
219,CVE-2017-2100,-16.607424,-1.0526117,1
220,CVE-2017-2784,-8.072822,5.626787,1
221,CVE-2017-9187,-5.1479855,5.8615336,5
222,CVE-2017-1452,-13.88021,-1.2184086,1
223,CVE-2017-7906,-15.918701,-0.50102895,1
224,CVE-2017-14149,25.304539,-16.233929,2
225,CVE-2017-10330,-11.509435,-2.9454072,1
226,CVE-2017-17735,17.106707,-10.934398,2
227,CVE-2017-9502,22.159,-12.5913515,2
228,CVE-2017-14764,-8.806238,5.720297,1
229,CVE-2017-17782,-17.295792,-0.49448815,1
230,CVE-2017-1000500,25.71006,-15.4761505,2
231,CVE-2017-17809,-16.163406,-0.36140186,1
232,CVE-2017-5231,-4.819829,5.4253297,5
233,CVE-2017-1002000,-4.829539,5.770246,5
234,CVE-2017-13143,16.792248,-11.282061,2
235,CVE-2017-9920,5.419393,3.1376848,5
236,CVE-2017-5869,-4.424148,5.8625464,5
237,CVE-2017-2923,-13.192001,3.5941744,1
238,CVE-2017-14895,-14.387868,-0.8259282,1
239,CVE-2017-15856,21.035198,-11.229042,2
240,CVE-2017-8716,6.972078,2.6517444,5
241,CVE-2017-15780,-13.22159,3.0882492,1
242,CVE-2017-2214,10.374878,13.644238,0
243,CVE-2017-0441,3.513029,19.057674,0
244,CVE-2017-2481,-14.631693,2.5475209,1
245,CVE-2017-2167,-9.096855,5.7921014,1
246,CVE-2017-6633,22.443981,-12.915571,2
247,CVE-2017-10748,5.334022,3.099904,5
248,CVE-2017-11366,3.7637615,19.048725,0
249,CVE-2017-8686,0.35920447,20.26264,0
250,CVE-2017-17469,1.7604108,6.489438,5
251,CVE-2017-0873,5.405757,3.958504,5
252,CVE-2017-1000147,-5.693475,6.0565605,5
253,CVE-2017-9727,-14.067179,0.45957014,1
254,CVE-2017-0162,-3.2163892,6.0717726,5
255,CVE-2017-3396,-11.509401,-2.9453008,1
256,CVE-2017-8720,-14.710431,-0.96327776,1
257,CVE-2017-6157,-8.562613,5.7555676,1
258,CVE-2017-0909,8.2129,12.898854,0
259,CVE-2017-16056,17.403006,-10.776781,2
260,CVE-2017-16014,18.542875,-10.85331,2
261,CVE-2017-2789,0.45559463,20.221058,0
262,CVE-2017-3156,25.313005,-16.248272,2
263,CVE-2017-16056,17.403006,-10.776781,2
264,CVE-2017-16014,18.542875,-10.85331,2
265,CVE-2017-2789,0.45854545,20.223747,0
266,CVE-2017-3156,25.948332,-15.634784,2
267,CVE-2017-10887,10.422695,11.390492,0
268,CVE-2017-2252,10.422695,11.390492,0
269,CVE-2017-14116,-0.47987,6.7726502,5
270,CVE-2017-5850,9.151976,7.9162846,0
271,CVE-2017-0755,-5.1560903,5.786237,5
272,CVE-2017-0222,4.9282846,18.129938,0
273,CVE-2017-11010,-3.5706866,5.806275,5
274,CVE-2017-11797,9.7185755,10.966983,0
275,CVE-2017-3186,-0.4798662,6.7726493,5
276,CVE-2017-2422,2.6572776,19.347883,0
277,CVE-2017-0089,2.3853238,18.523643,0
278,CVE-2017-7514,9.157185,7.724256,0
279,CVE-2017-0415,9.953532,13.089942,0
280,CVE-2017-16396,3.9511602,18.301588,0
281,CVE-2017-2451,1.8525664,19.646313,0
282,CVE-2017-18142,4.5822935,17.870623,0
283,CVE-2017-8607,2.3501313,18.54983,0
284,CVE-2017-0469,4.965648,18.156109,0
285,CVE-2017-7110,1.4166058,19.764517,0
286,CVE-2017-8749,2.3503423,18.546701,0
287,CVE-2017-13715,8.78462,12.017974,0
288,CVE-2017-8757,2.8147206,18.121344,0
289,CVE-2017-13696,6.4538302,16.322454,0
290,CVE-2017-2302,9.176849,7.9836364,0
291,CVE-2017-11267,3.8869126,18.436285,0
292,CVE-2017-14535,-0.43623117,6.7770925,5
293,CVE-2017-17106,-0.4755137,6.7448573,5
294,CVE-2017-14452,9.265723,8.116229,0
295,CVE-2017-3823,5.180451,17.81212,0
296,CVE-2017-0455,8.828461,11.442294,0
297,CVE-2017-0781,8.5587225,12.596932,0
298,CVE-2017-10858,10.430717,11.404842,0
299,CVE-2017-7112,1.4166058,19.764517,0
300,CVE-2017-8338,5.3429894,5.260011,5
301,CVE-2017-0093,3.4159615,18.382978,0
302,CVE-2017-12762,3.7557704,17.91409,0
303,CVE-2017-3096,4.3816814,18.12778,0
304,CVE-2017-16394,-1.6444986,6.565327,5
305,CVE-2017-12477,10.38862,11.264816,0
306,CVE-2017-8240,-8.413213,5.2112513,1
307,CVE-2017-13808,1.7838253,19.63729,0
308,CVE-2017-2943,3.8869126,18.436287,0
309,CVE-2017-14453,9.266101,8.11837,0
310,CVE-2017-2320,9.770829,13.955309,0
311,CVE-2017-16653,9.265671,8.110634,0
312,CVE-2017-15427,9.15626,7.726888,0
313,CVE-2017-2267,10.4307165,11.404842,0
314,CVE-2017-1366,5.4730344,5.202063,5
315,CVE-2017-13862,1.7843342,19.63803,0
316,CVE-2017-7535,9.157063,7.7241616,0
317,CVE-2017-0088,2.742702,18.316273,0
318,CVE-2017-0470,4.9656477,18.156109,0
319,CVE-2017-1369,-30.592787,26.983683,4
320,CVE-2017-0709,-3.7107456,-30.252903,3
321,CVE-2017-18242,-4.470454,-29.231232,3
322,CVE-2017-1459,16.024134,-7.3452206,2
323,CVE-2017-15568,-32.480972,23.965658,4
324,CVE-2017-2098,-4.5270886,-27.859762,3
325,CVE-2017-15892,-32.869247,24.724262,4
326,CVE-2017-1000485,14.654598,-4.827264,2
327,CVE-2017-11546,-4.1262717,-28.5109,3
328,CVE-2017-17904,-32.264606,24.133791,4
329,CVE-2017-9979,-32.75603,24.997274,4
330,CVE-2017-0107,-31.820139,27.2898,4
331,CVE-2017-17151,-12.072188,-30.946358,3
332,CVE-2017-6724,-31.992147,27.104647,4
333,CVE-2017-6136,-12.090085,-30.416216,3
334,CVE-2017-11171,14.768732,-5.9132657,2
335,CVE-2017-14077,-10.93496,-30.00539,3
336,CVE-2017-8587,-4.6532326,-30.038105,3
337,CVE-2017-11404,-12.239169,-29.70732,3
338,CVE-2017-8469,15.56971,-5.1197495,2
339,CVE-2017-5911,-3.5691297,-28.789663,3
340,CVE-2017-5535,15.026838,-6.363813,2
341,CVE-2017-6547,-32.89154,24.30732,4
342,CVE-2017-8504,-3.723043,-30.429577,3
343,CVE-2017-8474,15.569712,-5.1197515,2
344,CVE-2017-13088,-11.222315,-30.593353,3
345,CVE-2017-7732,-33.484333,24.686878,4
346,CVE-2017-10382,-12.9418745,-30.082315,3
347,CVE-2017-7943,-11.632191,-30.608822,3
348,CVE-2017-12673,-9.976827,-29.948952,3
349,CVE-2017-13672,14.834678,-5.1731076,2
350,CVE-2017-8953,-32.303764,25.14677,4
351,CVE-2017-8934,15.183142,-5.3490024,2
